sentimen, Tweet
['-1'],"['kemaren', 'kampus', 'anak', 'kambing', 'nyebrang', 'kambing', 'nya', 'ajha', 'nyebrang', 'histeris', 'takut', 'tabrak']"
['-1'],"['oke', 'bukber', 'tmn', 'kampus', 'rumah', 'tmn', 'deket', 'untung', 'puasa', 'jd', 'sabar', 'muacet', 'poll', 'mana', 'sampe', 'rumah', 'temen', '', '1', 'orang']"
['-1'],"['nyampe', 'kampus', 'daftar', 'uji', 'aika', 'bawa', 'syarat', 'sertif', 'daaan', 'daftar', 'oke', 'lgsg', 'bank', 'bayar', 'nyampe', 'bank', '14', '46', 'satpam', 'bilang', 'maaf', 'mba', 'udah', 'tutup', 'asdfgjkl']"
['-1'],"['takut', 'kalo', 'privat', 'chat', 'dosen', 'takut', 'salah', 'ulang', 'salah', 'kirim', 'selfi', 'dosen', 'niat', 'gendak', 'kirim', 'dosen', '', 'pose', 'gabanget', 'mecucu', 'mecucu', 'kasih', 'nilai', 'bgt', 'pokok']"
['1'],"['manusia', 'media', 'gk', 'pingin', 'baca', 'berita', 'lgsng', 'baca', 'komennya', 'seru', 'fadli', 'zon', 'ragu', 'orang', 'duga', 'teroris', 'aman', 'kampus', 'unri', 'jadi', 'gedung', 'dpr', 'dprd', 'target', 'bom']"
['-1'],"['gatau', 'anjyr', 'muak', 'gue', 'ajar', 'bisnis', 'internasional', 'pasar', 'internasional', 'ekonomi', 'internasional', 'dosen', 'kmrn', 'bilang', 'bahas', 'pariwisata', 'ekopembangunan', 'biar', 'santai', 'uas', 'nggak', 'bahas', 'bahas', 'enek', 'gue', 'denger', 'pdb', 'gin', 'ratio', 'kawan']"
['-1'],"['interaksi', 'kampus', 'kelas', 'praktikum', 'alam', 'harga', 'beliau', 'beliau', 'uji', 'sidang', 'skripsi', 'hamba', 'ridha', 'ya', 'rabb', 'beliau']"
['1'],"['uns', 'universitas', 'negeri', 'surakarta', 'daftar', '92', '000', 'kampus', 'butuh', '8200', 'terima', 'selamat', 'kalah', 'sekian', 'ribu', 'orang']"
['-1'],"['yg', 'pilih', 'sihh', 'takut', 'malu', 'univ', '1', 'kampus', 'orang', 'tdk', 'lawan', 'mahasiswa', 'indonesia', 'ya', 'kali', 'bor']"
['-1'],"['saking', 'takut', 'salah', 'ngetik', 'ngechat', 'dosen', 'wali', 'gue', 'ngetiknya', 'note', 'perbaiki-perbaiki-copy-paste', 'roomchat-cek-cek-cek', 'lagi-delete-buka', 'note', 'lagi-perbaiki-perbaiki-buka', 'whatsapp-close-gajadi', 'chat', 'deh', 'mules', 'gue', 'pup', 'lemah']"
['-1'],"['gmn', 'leav', 'wa', 'grup', 'yg', 'isi', '6', 'orang', 'tmn', 'deket', 'kampus', 'deket', 'faking', 'toxic', 'niru', 'yg', 'laku']"
['1'],"['sembuh', 'sakit', 'obat', 'ya', 'kek', 'gin', 'bilang', 'flu', 'bersin', 'demam', 'krim', 'malam', 'kalo', 'anak', 'kampus', 'bilang', 'penuh']"
['-1'],"['guys', 'deg', 'degan', 'parah', 'takut', 'ambil', '24sks', 'smt', 'udah', 'tinggal', '1', 'matkul', 'lg', 'yg', 'ngerasa', 'zonk', 'bgt', 'dosen', 'uasnya', 'biar', 'takut', 'gimana', 'ya', 'pikir', 'trs', 'enak']"
['-1'],"['kemaren', 'bagi', 'nilai', 'uts', 'takut', 'bener', 'gue', 'imbangin', 'pas', 'uas', 'kampus', 'gue', 'rem']"
['1'],"['sembuh', 'sakit', 'mesti', 'pake', 'obat', 'ya', 'kek', 'gin', 'flu', 'bersin', 'demam', 'krim', 'malam', 'kalo', 'anak', 'kampus', 'bilang', 'sih', 'penuh']"
['-1'],"['revisi', 'teliti', 'lapang', 'bab', 'data', 'salah', 'hotel', 'jogja', 'yg', 'dipermasalahin', 'dosen', 'uji', 'jogja', 'nanyain', 'data', 'kek', 'gitu', 'doang', 'informanya', 'gabisa', 'hubungin', 'ken', 'lari', 'tanggung']"
['-1'],"['beliau', 'bilang', 'jadwal', 'uas', 'tgl', '25', 'mei', 'dua', 'milik', 'protes', 'ya', 'nama', 'mahasiswa', 'tua', 'liat', 'jadwal', 'uas', 'kampus', 'aja', 'boro2', 'diam', 'singgung', 'jadwal', 'uji', 'final', 'beliau']"
['-1'],"['anti', 'bank', 'bank', 'club', 'gue', 'kepo', 'info', 'dah', 'risen', 'lo', 'ja', 'makan', 'duit', 'riba', 'tuh', 'salah', 'rekan', 'pria', 'tawan', 'kampus', 'berani', 'putus', 'risen', 'biar', 'makan', 'duit', 'riba', 'ckck']"
['0'],"['finish', 'assignments', 'continu', 'watch', 'bts', 'dvd', 'xd', 'left']"
['0'],"['3', 'assignments', '1']"
['1'],"['revisi', 'teliti', 'lapang', 'bab', 'data', 'salah', 'hotel', 'jogja', 'yg', 'dipermasalahin', 'dosen', 'uji', 'jogja', 'nanyain', 'data', 'kek', 'gitu', 'doang', 'informanya', 'gabisa', 'hubungin', 'ken', 'lari', 'tanggung']"
['1'],"['beliau', 'bilang', 'jadwal', 'uas', 'tgl', '25', 'mei', 'dua', 'milik', 'protes', 'ya', 'nama', 'mahasiswa', 'tua', 'liat', 'jadwal', 'uas', 'kampus', 'aja', 'boro2', 'diam', 'singgung', 'jadwal', 'uji', 'final', 'beliau']"
['-1'],"['anti', 'bank', 'bank', 'club', 'gue', 'kepo', 'info', 'dah', 'risen', 'lo', 'ja', 'makan', 'duit', 'riba', 'tuh', 'salah', 'rekan', 'pria', 'tawan', 'kampus', 'berani', 'putus', 'risen', 'biar', 'makan', 'duit', 'riba', 'ckck']"
['1'],"['dosen', 'liat', 'asli']"
['-1'],"['anies', 'congor', 'aja', 'gede', 'realisasi', 'gak', 'janji', 'bisa', 'korupsi', 'dosen', 'aja', 'bangsat']"
['-1'],"['5', 'triliun', '142', 'hektar', 'kampus', 'rujuk', 'islam', 'dunia', 'kelas', 'al-azhar', 'proyek', 'ponpes', 'madrasah', 'masjid', 'fasilitas', 'ummat', 'kl', 'yg', 'bilang', 'beliau']"
['1'],"['ijazah', 'dadak', 'nyelip', 'tu', 'langsung', 'tiba2', 'bayang', 'juang', 'kampus', 'teliti', 'skripsi', 'el', 'el', 'emang', 'ya', 'kudu', 'gak', 'asa']"
['-1'],"['alumni', 'praktek', 'kampus', 'ijin', 'harusnyakan', 'ijin', 'krn', 'alumnus', 'pakai', 'fasilitas', 'negara', 'tuk', 'penting', 'tahu', 'otoritas', 'kampus']"
['-1'],"['bicara', 'remeh', 'temeh', 'surat', 'pemberitahuan', 'kalajengking', 'beliau', 'tau', 'oposisi', 'surat', 'pemberitahuan', 'nyinyir', 'stres', 'strok', 'dosen', 'laku', 'bacot', 'gede', 'hasil', 'karya', 'anak', 'asuh', 'mayor', 'dungu']"
['-1'],"['masuk', 'google', 'blogger', 'forum', 'situs', 'dewasa', 'kasih', 'bonus', 'jablay', 'abang', 'lonte', 'bispak', 'bugil', 'nake', 'toge', 'puting', 'jilboobs', 'binal', 'bisyar', 'ayam', 'kampus', 'tante', 'girang', 'ngewe', 'ngentot', 'porno', 'nake', 'banget', 'pascol', 'mania', 'cocktribute', 'sih']"
['1'],"['mega', 'rona', 'utus', 'malaysia', 'april', 'politik', 'beli', 'utus', 'malaysia', 'langgan', 'islam', 'muslim', 'alquran', 'keluarga', 'wanita', 'sehat', 'hibur', 'artis', 'budaya', 'sains', 'teknologi', 'alam', 'alumni', 'kampus', 'universitas', 'wira', 'tentera', 'poli']"
['1'],"['pagi', 'pagi', 'galau', 'galau', 'kampus', 'mencret', 'lucu']"
['1'],"['peta', 'petitih', 'sucipto', 'purnomo', 'dosen', 'budaya', 'jawa', 'jurus', 'sastra', 'jawa', 'universitas', 'negeri', 'semarang', 'tema', 'gumun', 'getun', 'kaget', 'alem']"
['1'],"['mega', 'utus', 'malaysia', 'april', 'politik', 'beli', 'utus', 'malaysia', 'langgan', 'islam', 'muslim', 'alquran', 'keluarga', 'wanita', 'sehat', 'hibur', 'artis', 'budaya', 'sains', 'teknologi', 'alam', 'alumni', 'kampus', 'universitas', 'wira', 'tentera', 'poli']"
['1'],"['perhati', 'kampus', 'kali', 'aksi', 'demo', 'lawan', 'tuntut', 'soeharto', 'mundur', 'kampus', 'gencar', 'aksi', 'demo', 'henti', 'trisakti', 'atma', 'jaya', 'universitas', 'tarumanegara', 'universitas', 'kristen', 'uki', 'kampus', 'afiliasi', 'csis', 'elit', 'kak']"
['1'],"['bukti', 'kampus', 'rakyat', 'kampus', 'ngkin', 'pikir', 'jamban']"
['-1'],"['anies', 'congor', 'gede', 'realisasi', 'janji', 'korupsi', 'dosen', 'bangsat']"
['1'],"['istirahat', 'news', 'mohon', 'perintah', 'masuk', 'kait', 'tega', 'hukum', 'indonesia', 'bebas', 'amp', 'pulih', 'nama', 'warga', 'negara', 'indonesia', 'vonis', 'penjara', 'nista', 'agama', 'dosen', 'kitab', 'suci', 'fik']"
['1'],"['tau', 'dosen', 'ilmu', 'budaya', 'sepuh', 'ketemu', 'penasaran', 'mbak']"
['1'],"['makan', 'siang', 'mi', 'ayam', 'kampus', 'jual', 'layan', 'tonton', 'bareng', 'jojo', 'alah', 'salip', 'alah', 'alah']"
['1'],"['barel', 'bom', 'wilayah', 'kampus', 'kena']"
['1'],"['terima', 'kasih', 'ustaz', 'suara', 'radikal', 'radikal', 'pikir', 'rejim', 'mesjid', 'radikal', 'kampus', 'radikal', 'dosen', 'radikal', 'pijak', 'adab', 'hancur', 'indonesia']"
['1'],"['rlt', 'saran', 'tugas', 'dosen', 'toleransi', 'agama', 'pilih', 'kepala', 'daerah', 'kitab', 'suci', 'bantu', 'guys']"
['1'],"['kampus', 'gue', 'temu', 'tas', 'duga', 'isi', 'bom']"
['1'],"['dosen', 'oi', 'adek', 'armando', 'polisi', 'kait', 'noda', 'agama']"
['-1'],"['rt', 'mahasiswi', 'paksa', 'emut', 'kontol', 'dosen', 'mandi', 'entot', 'nilai', 'kelas']"
['-1'],"['aneh', 'survei', 'bawa', 'nama', 'kampus', 'kayak', 'sih', 'luhut', 'bawa', 'institut', 'teknologi', 'bandung', 'dukung', 'reklamasi', 'cebong', 'hehe']"
['1'],"['gue', 'doa', 'kuat', 'lihat', 'menang', 'amin', 'kampus', 'warung', 'mi', 'ayam', 'bicara', 'jojo', 'sih', 'haha', 'rl', 'gue', 'lini', 'ramai']"
['1'],"['sepakat', 'masuk', 'silang', 'budaya', 'dosen', 'dosen', 'lokal', 'tempurung', 'bukti', 'dosen', 'lokal', 'hitung']"
['1'],"['untung', 'teman', 'gue', 'kampus', 'cari', 'budget', 'makan', 'kak', 'warung', 'langgan', 'warung', 'sekolah', 'dasar', 'nasi', 'ayam', 'saus', 'padang', 'teh', 'campur', 'sari', 'kakak', 'boros', 'semest', 'pas', 'kakak']"
['1'],"['yayasan', 'kampus', 'bangun', 'dasar', 'asas', 'agama', 'katolik', 'kristen', 'terima', 'murid', 'agama', 'hehe']"
['1'],"['badan', 'kuliah', 'bohong', 'dosen', 'fakultas', 'besok', 'lulus', 'kuliah', 'pimpin', 'negara', 'tung', 'presiden', 'anak', 'anak', 'dosen']"
['-1'],"['marwah', 'kampus', 'rejim', 'biadab', 'nyungsep', 'amin']"
['-1'],"['anjing', 'ayam', 'kampus', 'ya']"
['-1'],"['lantai', 'unduh', 'bokep', 'video', 'mahasiswi', 'pecah', 'perawan', 'dosen', 'gila', 'ngentot']"
['-1'],"['negara', 'jerat', 'utang', 'bijak', 'boros', 'ganti', 'presiden', 'presiden', 'perintah', 'anggar', 'rupiah', 'gaji', 'dosen', 'asing']"
['-1'],"['narkoba', 'cina', 'dosen', 'cina', 'hutang', 'cina', 'tenaga', 'kerja', 'asing', 'cina', 'periode', 'kurikulum', 'cina', 'salam', 'ganti', 'presiden']"
['-1'],"['sih', 'nih', 'dosen', 'azan', 'break', 'cerocos', 'mulu', 'kunyuk']"
['1'],"['kampus', 'gue', 'foreign', 'pakai', 'rok', 'pantat', 'wkwk', 'sih', 'gantung', 'dosen', 'pakai']"
['1'],"['dosen', 'oi', 'adek', 'armando', 'polisi', 'kait', 'noda', 'agama', 'denny']"
['1'],"['drop', 'kampus', 'baskoro', 'nada', 'mata', 'sipit', 'lion', 'buka', 'kejut', 'masuk', 'tau', 'anak', 'teman']"
['-1'],"['gelar', 'profesor', 'palsu', 'lucu', 'nikmat', 'gelar', 'profesor', 'bongkar', 'dosen', 'staf', 'gila', 'keburu', 'cinta', 'ilmu', 'palsu', 'gendeng']"
['1'],"['moga', 'pikir', 'timpang', 'hasil', 'rencana', 'impor', 'dosen', 'gaji', 'rupiah', 'rupiah', 'juta', 'gaji', 'dosen', 'kerja', 'rupiah', 'juta']"
['-1'],"['sih', 'boneka', 'menang', 'pilih', 'presiden', 'berkat', 'bantu', 'kuasa', 'dalang', 'rajalela', 'kuasa', 'batas', 'awas', 'partai', 'dewan', 'wakil', 'rakyat', 'tentara', 'polisi', 'senat', 'organisasi', 'masyarakat', 'kampus', 'mahasiswa', 'buruh', 'cendikiawan', 'media', 'ulama']"
['1'],"['mahasiswa', 'aktif', 'giat', 'kampus', 'chat']"
['1'],"['bicara', 'pakai', 'alam', 'universitas', 'universitas', 'katolik', 'larang', 'taung', 'organisasi', 'mahasiswa', 'katolik', 'uang', 'usaha', 'pakai', 'fasilitas', 'kampus', 'giat', 'recruit', 'promosi', 'universitas', 'islam']"
['1'],"['bengkal', 'tuan', 'rumah', 'pekan', 'ilmiah', 'olahraga', 'seni', 'mahasiswa', 'mahasiswa', 'kampus', 'islam', 'riau', 'pulau', 'riau']"
['1'],"['pro', 'kampus', 'pagi', 'indonesia', 'barat', 'bahas', 'ekonomi', 'chess', 'competit', 'ecc', 'viii', 'himpun', 'mahasiswa', 'ekonomi', 'bangun', 'himpun', 'mahasiswa', 'ekononmi', 'bangun', 'universitas', 'tanjungpura', 'kak', 'reza', 'kak', 'kak', 'wiranti', 'sih', 'kak', 'andinia', 'kak', 'tino', 'sila', 'partisipasi']"
['1'],"['compil', 'assign', 'sinting', 'lengan', 'baju']"
['-1'],"['tangkap', 'iya', 'dosen', 'usu', 'tangkap', 'arti', 'sontoloyo', 'ganti', 'presiden']"
['-1'],"['rt', 'paksa', 'layan', 'kontol', 'dosen']"
['1'],"['suka', 'anies', 'kasih', 'kuliah', 'bagus', 'dukung', 'anies', 'dosen', 'prof', 'rektor', 'hebat', 'beliau', 'gubernur']"
['1'],"['band', 'beli', 'xxxd', 'ongkos', 'kirim', 'pakai', 'kaki', 'jalan', 'menit', 'kampus', 'makan', 'cari', 'makan', 'harga', 'lumayan', 'ribu', 'telur', 'dadar', 'ayam', 'kare', 'sayur', 'tumis', 'kacang', 'bro', 'lumayan']"
['1'],"['enak', 'ayam', 'geprek', 'selatan', 'kampus']"
['1'],"['bicara', 'orientasi', 'studi', 'kenal', 'kampus', 'orientasi', 'studi', 'kenal', 'kampus', 'suruh', 'makan', 'xon', 'ce', 'gilir', 'masuk', 'lidah', 'oper', 'belah', 'habis', 'kecup', 'mulut', 'pas', 'gilir']"
['1'],"['acara', 'kampus', 'fakultas', 'ilmu', 'budaya', 'universitas', 'negeri', 'padjadjaran', 'cerita', 'maju', 'republik', 'rakyat', 'tiongkok', 'tips', 'hadap', 'hidup', 'ajar', 'kampus', 'selesai', 'campus', 'gemasian']"
['1'],"['revisi', 'teliti', 'lapang', 'bab', 'data', 'salah', 'hotel', 'yoyakarta', 'dipermasalahin', 'dosen', 'uji', 'yoyakarta', 'data', 'kayak', 'doang', 'informanya', 'hubungin', 'lari', 'tanggung']"
['1'],"['beliau', 'bilang', 'jadwal', 'uji', 'semest', 'tanggal', 'mei', 'milik', 'protes', 'ya', 'nama', 'mahasiswa', 'tua', 'lihat', 'jadwal', 'uji', 'semest', 'kampus', 'boro', 'diam', 'singgung', 'kena', 'jadwal', 'uji', 'final', 'beliau']"
