sentimen, Tweet
['0'],"['krt', 'kakakku', 'tugas', 'kuliah', 'menganalisis', 'lagu', 'temennya', 'milih', 'lagu', 'ditengah', 'presentasi', 'dosen', 'pengamp']"
['0'],"['busy', 'assignment', 'online', 'tengok', 'note', 'kt', 'rupanyan', 'time', 'tu', 'menggatal']"
['1'],"['posko', 'peduli', 'palu', 'gorontalo', 'kampus', 'unu', 'gorontalo', 'posko', 'mengirim', 'bantuan', 'palu', 'mene']"
['-1'],"['dosen', 'kalo', 'telat', 'bikin', 'salah', 'dikit', 'diungkit2', 'mulu', 'kalo', 'huft']"
['0'],"['busy', 'assignment', 'online', 'tengok', 'note', 'kt', 'rupanyan', 'time', 'tu', 'menggatal']"
['0'],"['tugas', 'kuliah', 'yg', 'selese', 'bang', 'dikumpulin', 'besok', 'pagi']"
['1'],"['kampus', 'perasaan', 'riang', 'gembira']"
['-1'],"['dosen', 'penguji', 'kaitan', 'teori', 'variabel', 'skripsi', 'edy', 'urusan', 'hak']"
['0'],"['membahas', 'permasalahan', '17', 'dosen', 'hukum', 'islam', 'whoooooaaaaaa', 'untung', 'kaum', 'bar', 'bar']"
['0'],"['nungguin', 'gebetan', 'kampus', 'ngga', 'dateng', 'dateng', 'nih', 'biar', 'ngga', 'bosen', 'aktifkan', 'paket', 'kampusku', 'amp', 'nikmati', 'kuota']"
['0'],"['udah', 'donk', 'udah', 'kanemangat', 'anak', 'kampus']"
['0'],"['dengerin', 'dosen', 'ngajar', 'dikelas', 'variabelnya', '3', 'kalo', 'sih', 'dijadiin', '2', 'dikurangin', 'nama', 'nama', 'gap']"
['0'],"['bole', 'dak', 'duduk', 'discuss', 'assignments', 'maksud', 'discuss', 'tu', 'discuss', 'laa', 'main', 'fon']"
['1'],"['semoga', 'allah', 'permudahkan', 'urusan', 'amp', 'orang', 'sekeliling', 'stress', 'kisah', 'pasal', 'assignment', 'kerja']"
['-1'],"['terpantau', 'balas', 'dendam', 'goro', 'sumpek', 'ndek', 'dosen', 'sing', 'sak', 'penake', 'dewe']"
['-1'],"['ih', 'tolol', 'ya', 'ketakutan', 'tantrum', 'bocahnya', 'dikampus', 'sampe', 'malem']"
['-1'],"['meningkat', 'banget', 'hasilnya', 'gimana', 'ditanyain', 'trus', 'pikir', 'dosen', 'lihat', 'jadiin', 'laporan', 'evaluasi', 'bungkus', 'gorengan', 'ya', 'ditanyain', 'bambang', 'bikin', 'emosi', 'pagi2']"
['-1'],"['profesor', 'resign', 'kampus', 'mendingan', 'bikin', 'malu', 'almameter', 'kesel']"
['-1'],"['temen', 'sekolah', 'gayanya', 'selangit', 'sok', 'kaya', 'banget', 'julid', 'suka', 'berantem', 'ngerasa', 'kekuasaan', 'keringanan', 'biaya', 'miskin', 'trus', 'temen', 'kuliah', 'orang', 'kaya', 'warnet', 'keringanan', 'dr', 'kampus', 'bayar', 'sampe', '3', 'semester']"
['-1'],"['jends', 'ngasih', 'info', 'kadang', 'suka', 'banget', 'dadakan', 'deh', 'kampus', 'bikin', 'keki']"
['-1'],"['kampus', 'nemuin', 'kajur', 'badan', 'lemes', 'gaenak', 'badan', 'takut', 'kampus', 'moga', 'aja']"
['0'],"['tuh', 'perumahan', 'tinggalku', 'banget', 'pengamen', 'kadang', 'suka', 'nawarin', 'barang', 'gitu', 'loh', 'dirumah', 'bapakku', 'doang', 'kakakku', 'kampus', 'ibuku', 'warung', 'sayur', 'tukang', 'ngamen', 'bapakku-']"
['0'],"['gua', 'dah', 'nyusun', 'jadwal+dosen', 'enak', 'jdi', 'pas', 'buka', 'tinggal', 'pilih', 'kelas', 'yg', 'dah', 'gua', 'catet']"
['0'],"['terima', 'kasih', 'dosen', 'makasih', 'orang', 'yg', 'suka', 'maaciw', 'temen', 'deket', 'mksh', 'orang', 'yg', 'ganggu', 'hidup', 'aing']"
['-1'],"['ya', 'orang', 'jumat', 'rumah', 'sakit', 'sore', 'nya', 'tiba2', 'jatoh', 'sedih', 'mulu', 'sampe', 'sabtu', 'paginya', 'udah', 'disuruh', 'kekampus', 'sampe', 'malem', 'alamat', 'masuk', 'rumah', 'sakit', 'mah']"
['-1'],"['jodoh', 'kampus', 'sedih', 'sih', 'gak', 'sesedih', 'pas', 'gagal', 'kemaren', 'cepet', 'cepet', 'nyari', 'kampus', 'negeri', 'yg', 'buka', 'pendaftaran']"
['-1'],"['kuota', 'kampus', 'ngga', 'turun', 'yak', 'sedih', 'duit', 'habis', 'beli', 'kuota', 'doang']"
['-1'],"['mimpi', 'ku', 'malem', 'sedih', 'gaje', 'sedih', 'karna', 'bestie', 'meninggal', 'gaje', 'karna', 'guru', 'mtk', 'tni', 'dosen']"
['-1'],"['5', 'triliun', '142', 'hektar', 'kampus', 'rujukan', 'islam', 'dunia', 'sekelas', 'al-azhar', 'proyek', 'ponpes', 'madrasah', 'masjid', 'fasilitas', 'ummat', 'kl', 'yg', 'bilang', 'beliau']"
['-1'],"['ijazah', 'mendadak', 'nyelip', 'tu', 'langsung', 'tiba2', 'kebayang', 'perjuangan', 'dikampus', 'penelitian', 'skripsi', 'el', 'el', 'emang', 'ya', 'kudu', 'gak', 'berasa']"
['-1'],"['alumni', 'praktek', 'dikampus', 'ijin', 'harusnyakan', 'ijin', 'krn', 'alumnus', 'memakai', 'fasilitas', 'negara', 'tuk', 'kepentingannya', 'sepengetahuan', 'otoritas', 'kampus']"
['1'],"['mah', 'kalo', 'sms', 'dosen', 'kudu', 'banget', 'mikirin', 'kata-kata', 'biar', 'sopan', 'takut', 'salah', 'ngomong', 'pas', 'udah', 'lulus', 'mah', 'udah', 'kaya', 'temen', 'aja', 'sih', 'wkwkw', 'gimana', 'ketua', 'kelas']"
['1'],"['kayak', 'tudey', 'abis', 'dikabarin', 'telat', 'transfernya', 'krn', 'sisi', 'lgi', 'byk', 'keperluan', 'yaudah', 'bls', 'gapapa', 'bu', 'santai', 'aja', 'mashaallah', 'dah', 'malem', 'tbtb', 'rezeki', 'masuk', 'ditransfer', 'dosen']"
['1'],"['berangkat', 'pagi2', 'ngajar', 'ampe', 'jam', 'lgsg', 'cus', 'kampus', 'pesen', 'gojek', '3kali', 'krn', 'kejauhan', 'dr', 'sekolah', 'halte', 'busway', 'trs', 'panas2', 'terik', 'macet', 'jln', 'lg', 'bnyk', 'penilangan', 'alhamdulillah', 'dpt', 'duduk', '2jam', 'perjalanan', 'mac']"
['1'],"['dapet', 'tugas', 'kuliah', 'translate', '1-2', 'halaman', 'seminggu', 'aja', 'udah', 'sambat', 'abis2', 'dihajar', 'translate', 'berhalam', 'halaman', 'deadline', '12', 'hours', 'bu', 'motivasi', 'penyemangatku', 'hehe']"
['-1'],"['kali', 'pemakaian', 'fasilitas', 'laboratorium', 'dikampus', 'bayar', 'kalo', 'uang', 'dibayarkan', 'semster', 'doain', 'buruk', 'nih']"
['-1'],"['innalillahi', 'wainna', 'ilaihi', 'roji', 'undang', 'dasuki', 'salah', 'dosen', 'terbaik', 'berpulang', 'semangatnya', 'ditiru', 'mengenalnya']"
['1'],"['dosenny', 'seenak', 'diajakin', 'ngomong', 'terharuu', 'sih', 'ngobrolin', 'tesis', 'disuruh', 'leyeh2', 'malaikat', 'turun', 'dosen', 'sih', 'subhnallah']"
['-1'],"['pancasila', 'diuangin', 'thr', 'dipaksain', 'pendidikan', 'dijualin', 'otak', 'dikandangin', 'kampus', 'disatronin', '2', 'periode', 'dibatalin']"
['-1'],"['krn', 'save', 'kampus', 'alasan', 'tuk', 'memelihara', 'pelaku', 'teror', 'negeri', 'kapolri', 'menawarkan', 'fh', 'fz', 'digaris', 'penggrebekan', 'pelaku', 'teroris', 'merasakan', 'ketegangan', 'aktivis']"
['-1'],"['pencitraan', 'terbesar', 'kampus', 'akreditasi', 'ruangan', 'dirapikan', 'dulunya', 'gak', 'dulunya', 'dihilangkan']"
['-1'],"['maba', 'dikampus', 'tau', 'kalo', 'kuliah', 'gak', 'kayak', 'difilm', 'film', 'sumringah', 'ntar', 'sebulan', 'kuliah', 'langsung', 'kusut', 'muka']"
['-1'],"['organisasi', 'hambatan', 'pulang', 'terlambat', 'kerumah', 'lantas', 'kabarnya', 'tugas', 'kuliah', 'yg', 'mengenal', 'kesana', 'kesini', 'contoh', 'tugas', 'mengeluh', 'mengkambing', 'hitamkan', 'organisasi', 'yg', 'kuliah', 'seenak', 'ftv']"
['1'],"['bias', 'dosen', 'lulus', 'univ', 'menginspirasi', 'gak', 'ngetai', 'taiin', 'doang', 'panutanqu', 'kampus', 'pengen', 'banget', 'kaya']"
['-1'],"['negeri', 'didirikan', 'akal', 'sehat', 'politik', 'orang', 'pemarah', 'akalnya', 'buntu', 'mari', 'turun', 'kampus-kampus', 'rawat', 'akal', 'sehat', 'sedekahmu', 'bangsa', 'nungguin', 'apbn']"
['-1'],"['skrg', 'gini', 'pertanyaannya', 'kah', 'yg', 'mahasiswa', 'umi', 'masuk', 'ruang', 'kuliah', 'tugas', 'kuliah', 'sprt', 'mhs', 'larangan', 'gunanya', 'perkuliahan', 'kalo']"
['-1'],"['gimana', 'ngehadepin', 'dosen', 'dichat', 'ngeread', 'doang', 'responnya', 'banget', 'gue', 'gue', 'bingung', 'ngapain', 'takut', 'salah', 'langkah']"
['-1'],"['deket2', 'pengenalan', 'kampus', 'rame', 'grup', 'gue', 'gue', 'takut', 'denger', 'notif', 'grup', 'geter', 'masuk', 'pesan', 'tau', 'huhu']"
['-1'],"['kemaren', 'kampus', 'anak', 'kambing', 'nyebrang', 'kambing', 'nya', 'ajha', 'nyebrang', 'histeris', 'takut', 'ketabrak']"
['-1'],"['oke', 'bukber', 'tmn', 'kampus', 'rumah', 'tmn', 'deket', 'untung', 'puasa', 'jd', 'sabar', 'muacet', 'poll', 'dimana', 'sampe', 'rumah', 'temen', '&', '1', 'orang']"
['-1'],"['nyampe', 'kampus', 'daftar', 'ujian', 'aika', 'bawa', 'persyaratan', 'sertif', 'daaan', 'daftar', 'oke', 'lgsg', 'bank', 'bayaran', 'nyampe', 'bank', '14', '46', 'satpam', 'bilang', 'maaf', 'mba', 'udah', 'tutup', 'asdfgjkl']"
['-1'],"['takut', 'kalo', 'private', 'chat', 'dosen', 'takut', 'kesalahan', 'keulang', 'salah', 'kirim', 'selfi', 'dosen', 'niatnya', 'gendakan', 'kekirim', 'dosen', '&', 'posenya', 'gabanget', 'mecucu', 'mecucu', 'dikasih', 'nilai', 'bgt', 'pokoknya']"
['1'],"['manusia', 'media', 'gk', 'pingin', 'baca', 'beritanya', 'lgsng', 'baca', 'komennya', 'seru', 'fadli', 'zon', 'ragu', 'orang', 'terduga', 'teroris', 'diamankan', 'kampus', 'unri', 'menjadikan', 'gedung', 'dpr', 'dprd', 'target', 'pengeboman']"
['-1'],"['gatau', 'anjyr', 'muak', 'gue', 'belajar', 'bisnis', 'internasional', 'pemasaran', 'internasional', 'perekonomian', 'internasional', 'dosen', 'kmrn', 'bilang', 'bahas', 'pariwisata', 'ekopembangunan', 'biar', 'santai', 'uas', 'nggak', 'bahas', 'bahas', 'enek', 'gue', 'denger', 'pdb', 'gini', 'ratio', 'kawan-kawannya']"
['-1'],"['berinteraksi', 'kampus', 'kelas', 'praktikum', 'pengalaman', 'berharga', 'beliau', 'beliau', 'penguji', 'sidang', 'skripsi', 'hamba', 'ridha', 'ya', 'rabb', 'beliau']"
['1'],"['uns', 'universitas', 'negeri', 'surakarta', 'mendaftar', '92', '000', 'kampusnya', 'butuh', '8200', 'keterima', 'selamat', 'mengalahkan', 'sekian', 'ribu', 'orang']"
['-1'],"['yg', 'dipilih', 'sihh', 'takut', 'memalukan', 'univ', '1', 'kampus', 'orang', 'tdk', 'lawannya', 'mahasiswa', 'indonesia', 'ya', 'kalii', 'bor']"
['-1'],"['saking', 'takut', 'salah', 'ngetik', 'ngechat', 'dosen', 'wali', 'gue', 'ngetiknya', 'note', 'perbaiki-perbaiki-copy-paste', 'roomchat-cek-cek-cek', 'lagi-delete-buka', 'note', 'lagi-perbaiki-perbaiki-buka', 'whatsapp-close-gajadi', 'chat', 'deh', 'mules', 'gue', 'pup', 'lemah']"
['-1'],"['gmn', 'leave', 'wa', 'grup', 'yg', 'isinya', '6', 'orang', 'tmn', 'deket', 'kampus', 'deket', 'faking', 'toxic', 'niru', 'yg', 'kulakukan']"
['1'],"['menyembuhkan', 'sakit', 'obat', 'ya', 'kek', 'gini', 'bilangnya', 'flu', 'bersin', 'demam', 'krim', 'malam', 'kalo', 'anak', 'kampus', 'bilang', 'terpenuhi']"
['-1'],"['guys', 'deg', 'degan', 'parah', 'takut', 'ambil', '24sks', 'smt', 'udah', 'tinggal', '1', 'matkul', 'lg', 'yg', 'ngerasa', 'zonk', 'bgt', 'dosen', 'uasnya', 'biar', 'takut', 'gimana', 'ya', 'kepikiran', 'trs', 'enak']"
['-1'],"['kemaren', 'pembagian', 'nilai', 'uts', 'takut', 'bener', 'gue', 'imbangin', 'pas', 'uas', 'kampus', 'gue', 'serem']"
['1'],"['menyembuhkan', 'sakit', 'mesti', 'pake', 'obat', 'ya', 'kek', 'gini', 'flu', 'bersin', 'demam', 'krim', 'malam', 'kalo', 'anak', 'kampus', 'bilang', 'sih', 'terpenuhi']"
['-1'],"['revisi', 'penelitian', 'lapangan', 'bab', 'data', 'salah', 'hotel', 'jogja', 'yg', 'dipermasalahin', 'dosen', 'penguji', 'jogja', 'nanyain', 'data', 'kek', 'gitu', 'doang', 'informanya', 'gabisa', 'hubungin', 'pengen', 'lari', 'tanggung']"
['-1'],"['beliau', 'bilang', 'jadwal', 'uas', 'tgl', '25', 'mei', 'berdua', 'memiliki', 'protes', 'ya', 'namanya', 'mahasiswa', 'tua', 'liat', 'jadwal', 'uas', 'kekampus', 'aja', 'boro2', 'diam', 'singgung', 'jadwal', 'ujian', 'final', 'beliau']"
['-1'],"['anti', 'bank', 'bank', 'club', 'gue', 'kepo', 'infonya', 'dah', 'risen', 'lo', 'ja', 'makan', 'duit', 'riba', 'tuh', 'salah', 'rekan', 'pria', 'menawan', 'sekampus', 'berani', 'memutuskan', 'risen', 'biar', 'makan', 'duit', 'riba', 'ckck']"
['0'],"['finished', 'assignments', 'continue', 'watch', 'bts', 'dvd', 'xd', 'left']"
['0'],"['3', 'assignments', '1']"
['1'],"['revisi', 'penelitian', 'lapangan', 'bab', 'data', 'salah', 'hotel', 'jogja', 'yg', 'dipermasalahin', 'dosen', 'penguji', 'jogja', 'nanyain', 'data', 'kek', 'gitu', 'doang', 'informanya', 'gabisa', 'hubungin', 'pengen', 'lari', 'tanggung']"
['1'],"['beliau', 'bilang', 'jadwal', 'uas', 'tgl', '25', 'mei', 'berdua', 'memiliki', 'protes', 'ya', 'namanya', 'mahasiswa', 'tua', 'liat', 'jadwal', 'uas', 'kekampus', 'aja', 'boro2', 'diam', 'singgung', 'jadwal', 'ujian', 'final', 'beliau']"
['-1'],"['anti', 'bank', 'bank', 'club', 'gue', 'kepo', 'infonya', 'dah', 'risen', 'lo', 'ja', 'makan', 'duit', 'riba', 'tuh', 'salah', 'rekan', 'pria', 'menawan', 'sekampus', 'berani', 'memutuskan', 'risen', 'biar', 'makan', 'duit', 'riba', 'ckck']"
['1'],"['dosen', 'keliatan', 'aslinya']"
['-1'],"['anies', 'congornya', 'aja', 'gede', 'realisasinya', 'gak', 'janji', 'bisanya', 'korupsi', 'dosen', 'aja', 'bangsat']"
['-1'],"['5', 'triliun', '142', 'hektar', 'kampus', 'rujukan', 'islam', 'dunia', 'sekelas', 'al-azhar', 'proyek', 'ponpes', 'madrasah', 'masjid', 'fasilitas', 'ummat', 'kl', 'yg', 'bilang', 'beliau']"
['1'],"['ijazah', 'mendadak', 'nyelip', 'tu', 'langsung', 'tiba2', 'kebayang', 'perjuangan', 'dikampus', 'penelitian', 'skripsi', 'el', 'el', 'emang', 'ya', 'kudu', 'gak', 'berasa']"
['-1'],"['alumni', 'praktek', 'dikampus', 'ijin', 'harusnyakan', 'ijin', 'krn', 'alumnus', 'memakai', 'fasilitas', 'negara', 'tuk', 'kepentingannya', 'sepengetahuan', 'otoritas', 'kampus']"
['-1'],"['bicara', 'remeh', 'temeh', 'surat', 'pemberitahuan', 'kalajengking', 'beliau', 'tau', 'oposisi', 'surat', 'pemberitahuan', 'nyinyir', 'stres', 'strok', 'dosen', 'laku', 'bacot', 'gede', 'hasil', 'karya', 'anak', 'asuh', 'mayor', 'dungu']"
['-1'],"['masuk', 'google', 'blogger', 'forum', 'situs', 'dewasa', 'kasih', 'bonus', 'jablay', 'abang', 'lonte', 'bispak', 'bugil', 'naked', 'toge', 'puting', 'jilboobs', 'binal', 'bisyar', 'ayam', 'kampus', 'tante', 'girang', 'ngewe', 'ngentot', 'porno', 'naked', 'banget', 'pascol', 'mania', 'cocktribute', 'sih']"
['1'],"['mega', 'rona', 'utus', 'malaysia', 'april', 'politik', 'beli', 'utus', 'malaysia', 'langgan', 'islam', 'muslim', 'alquran', 'keluarga', 'wanita', 'sehat', 'hibur', 'artis', 'budaya', 'sains', 'teknologi', 'alam', 'alumni', 'kampus', 'universitas', 'wira', 'tentera', 'polis']"
['1'],"['pagi', 'pagi', 'galau', 'galau', 'kampus', 'mencret', 'lucu']"
['1'],"['peta', 'petitih', 'sucipto', 'purnomo', 'dosen', 'budaya', 'jawa', 'jurus', 'sastra', 'jawa', 'universitas', 'negeri', 'semarang', 'tema', 'gumun', 'getun', 'kaget', 'alem']"
['1'],"['mega', 'utus', 'malaysia', 'april', 'politik', 'beli', 'utus', 'malaysia', 'langgan', 'islam', 'muslim', 'alquran', 'keluarga', 'wanita', 'sehat', 'hibur', 'artis', 'budaya', 'sains', 'teknologi', 'alam', 'alumni', 'kampus', 'universitas', 'wira', 'tentera', 'polis']"
['1'],"['perhati', 'kampus', 'kali', 'aksi', 'demo', 'lawan', 'tuntut', 'soeharto', 'mundur', 'kampus', 'gencar', 'aksi', 'demo', 'henti', 'trisakti', 'atma', 'jaya', 'universitas', 'tarumanegara', 'universitas', 'kristen', 'uki', 'kampus', 'afiliasi', 'csis', 'elite', 'kak']"
['1'],"['bukti', 'kampus', 'rakyat', 'kampus', 'ngkin', 'pikir', 'jamban']"
['-1'],"['anies', 'congor', 'gede', 'realisasi', 'janji', 'korupsi', 'dosen', 'bangsat']"
['1'],"['istirahat', 'news', 'mohon', 'perintah', 'masuk', 'kait', 'tega', 'hukum', 'indonesia', 'bebas', 'amp', 'pulih', 'nama', 'warga', 'negara', 'indonesia', 'vonis', 'penjara', 'nista', 'agama', 'dosen', 'kitab', 'suci', 'fik']"
['1'],"['tau', 'dosen', 'ilmu', 'budaya', 'sepuh', 'ketemu', 'penasaran', 'mbak']"
['1'],"['makan', 'siang', 'mi', 'ayam', 'kampus', 'jual', 'layan', 'tonton', 'bareng', 'jojo', 'alah', 'salip', 'alah', 'alah']"
['1'],"['barel', 'bom', 'wilayah', 'kampus', 'kena']"
['1'],"['terima', 'kasih', 'ustaz', 'suara', 'radikal', 'radikal', 'pikir', 'rejim', 'mesjid', 'radikal', 'kampus', 'radikal', 'dosen', 'radikal', 'pijak', 'adab', 'hancur', 'indonesia']"
['1'],"['rlt', 'saran', 'tugas', 'dosen', 'toleransi', 'agama', 'pilih', 'kepala', 'daerah', 'kitab', 'suci', 'bantu', 'guys']"
['1'],"['kampus', 'gue', 'temu', 'tas', 'duga', 'isi', 'bom']"
['1'],"['dosen', 'oi', 'adek', 'armando', 'polisi', 'kait', 'noda', 'agama']"
['-1'],"['rt', 'mahasiswi', 'paksa', 'emut', 'kontol', 'dosen', 'mandi', 'entot', 'nilai', 'kelas']"
['-1'],"['aneh', 'survei', 'bawa', 'nama', 'kampus', 'kayak', 'sih', 'luhut', 'bawa', 'institut', 'teknologi', 'bandung', 'dukung', 'reklamasi', 'cebong', 'hehe']"
['1'],"['gue', 'doa', 'kuat', 'lihat', 'menang', 'amin', 'kampus', 'warung', 'mi', 'ayam', 'bicara', 'jojo', 'sih', 'haha', 'rl', 'gue', 'lini', 'ramai']"
['1'],"['sepakat', 'masuk', 'silang', 'budaya', 'dosen', 'dosen', 'lokal', 'tempurung', 'bukti', 'dosen', 'lokal', 'hitung']"
['1'],"['untung', 'teman', 'gue', 'kampus', 'cari', 'budget', 'makan', 'kak', 'warung', 'langgan', 'warung', 'sekolah', 'dasar', 'nasi', 'ayam', 'saus', 'padang', 'teh', 'campur', 'sari', 'kakak', 'boros', 'semester', 'pas', 'kakak']"
['1'],"['yayasan', 'kampus', 'bangun', 'dasar', 'asas', 'agama', 'katolik', 'kristen', 'terima', 'murid', 'agama', 'hehe']"
['1'],"['badan', 'kuliah', 'bohong', 'dosen', 'fakultas', 'besok', 'lulus', 'kuliah', 'pimpin', 'negara', 'tung', 'presiden', 'anak', 'anak', 'dosen']"
['-1'],"['marwah', 'kampus', 'rejim', 'biadab', 'nyungsep', 'amin']"
['-1'],"['anjing', 'ayam', 'kampus', 'ya']"
['-1'],"['lantai', 'unduh', 'bokep', 'video', 'mahasiswi', 'pecah', 'perawan', 'dosen', 'gila', 'ngentot']"
['-1'],"['negara', 'jerat', 'utang', 'bijak', 'boros', 'ganti', 'presiden', 'presiden', 'perintah', 'anggar', 'rupiah', 'gaji', 'dosen', 'asing']"
['-1'],"['narkoba', 'cina', 'dosen', 'cina', 'hutang', 'cina', 'tenaga', 'kerja', 'asing', 'cina', 'periode', 'kurikulum', 'cina', 'salam', 'ganti', 'presiden']"
['-1'],"['sih', 'nih', 'dosen', 'azan', 'break', 'cerocos', 'mulu', 'kunyuk']"
['1'],"['kampus', 'gue', 'foreigner', 'pakai', 'rok', 'pantat', 'wkwk', 'sih', 'gantung', 'dosen', 'pakai']"
['1'],"['dosen', 'oi', 'adek', 'armando', 'polisi', 'kait', 'noda', 'agama', 'denny']"
['1'],"['drop', 'kampus', 'baskoro', 'nada', 'mata', 'sipit', 'lion', 'buka', 'kejut', 'masuk', 'tau', 'anak', 'teman']"
['-1'],"['gelar', 'profesor', 'palsu', 'lucu', 'nikmat', 'gelar', 'profesor', 'bongkar', 'dosen', 'staf', 'gila', 'keburu', 'cinta', 'ilmu', 'palsu', 'gendeng']"
['1'],"['moga', 'pikir', 'timpang', 'hasil', 'rencana', 'impor', 'dosen', 'gaji', 'rupiah', 'rupiah', 'juta', 'gaji', 'dosen', 'kerja', 'rupiah', 'juta']"
['-1'],"['sih', 'boneka', 'menang', 'pilih', 'presiden', 'berkat', 'bantu', 'kuasa', 'dalang', 'rajalela', 'kuasa', 'batas', 'awas', 'partai', 'dewan', 'wakil', 'rakyat', 'tentara', 'polisi', 'senator', 'organisasi', 'masyarakat', 'kampus', 'mahasiswa', 'buruh', 'cendikiawan', 'media', 'ulama']"
['1'],"['mahasiswa', 'aktif', 'giat', 'kampus', 'chat']"
['1'],"['bicara', 'pakai', 'alam', 'universitas', 'universitas', 'katolik', 'larang', 'taung', 'organisasi', 'mahasiswa', 'katolik', 'uang', 'usaha', 'pakai', 'fasilitas', 'kampus', 'giat', 'recruitment', 'promosi', 'universitas', 'islam']"
['1'],"['bengkal', 'tuan', 'rumah', 'pekan', 'ilmiah', 'olahraga', 'seni', 'mahasiswa', 'mahasiswa', 'kampus', 'islam', 'riau', 'pulau', 'riau']"
['1'],"['pro', 'kampus', 'pagi', 'indonesia', 'barat', 'bahas', 'ekonomi', 'chess', 'competition', 'ecc', 'viii', 'himpun', 'mahasiswa', 'ekonomi', 'bangun', 'himpun', 'mahasiswa', 'ekononmi', 'bangun', 'universitas', 'tanjungpura', 'kak', 'reza', 'kak', 'kak', 'wiranti', 'sih', 'kak', 'andinia', 'kak', 'tino', 'sila', 'partisipasi']"
['1'],"['compile', 'assignment', 'sinting', 'lengan', 'baju']"
['-1'],"['tangkap', 'iya', 'dosen', 'usu', 'tangkap', 'arti', 'sontoloyo', 'ganti', 'presiden']"
['-1'],"['rt', 'paksa', 'layan', 'kontol', 'dosen']"
['1'],"['suka', 'anies', 'kasih', 'kuliah', 'bagus', 'dukung', 'anies', 'dosen', 'prof', 'rektor', 'hebat', 'beliau', 'gubernur']"
['1'],"['banding', 'beli', 'xxxd', 'ongkos', 'kirim', 'pakai', 'kaki', 'jalan', 'menit', 'kampus', 'makan', 'cari', 'makan', 'harga', 'lumayan', 'ribu', 'telur', 'dadar', 'ayam', 'kare', 'sayur', 'tumis', 'kacang', 'bro', 'lumayan']"
['1'],"['enak', 'ayam', 'geprek', 'selatan', 'kampus']"
['1'],"['bicara', 'orientasi', 'studi', 'kenal', 'kampus', 'orientasi', 'studi', 'kenal', 'kampus', 'suruh', 'makan', 'xon', 'ce', 'gilir', 'masuk', 'lidah', 'oper', 'belah', 'habis', 'kecup', 'mulut', 'pas', 'gilir']"
['1'],"['acara', 'kampus', 'fakultas', 'ilmu', 'budaya', 'universitas', 'negeri', 'padjadjaran', 'cerita', 'maju', 'republik', 'rakyat', 'tiongkok', 'tips', 'hadap', 'hidup', 'ajar', 'kampus', 'selesai', 'campus', 'gemasian']"
